Valid Epoch #12300/20000 | Loss: 9.6227e-05 
Adam  Epoch #12400/20000 | Loss: 6.4067e-03 =  <9.36e-04> <9.34e-04> <1.66e-04> <2.42e-03> <4.92e-06> <1.54e-04> <1.21e-04> <1.25e-03> <1.51e-05> <1.08e-04> <2.27e-04> <6.56e-05> 
Valid Epoch #12400/20000 | Loss: 9.6324e-05 
Adam  Epoch #12500/20000 | Loss: 6.7633e-03 =  <9.31e-04> <9.32e-04> <1.80e-04> <2.44e-03> <1.15e-05> <3.43e-04> <1.23e-04> <1.24e-03> <1.66e-05> <2.37e-04> <2.50e-04> <6.38e-05> 
Valid Epoch #12500/20000 | Loss: 9.2028e-05 
Adam  Epoch #12600/20000 | Loss: 6.2263e-03 =  <9.15e-04> <9.14e-04> <1.62e-04> <2.35e-03> <4.54e-06> <1.49e-04> <1.14e-04> <1.21e-03> <1.44e-05> <1.05e-04> <2.17e-04> <6.44e-05> 
Valid Epoch #12600/20000 | Loss: 9.1567e-05 
Adam  Epoch #12700/20000 | Loss: 6.2102e-03 =  <8.99e-04> <9.05e-04> <1.60e-04> <2.30e-03> <4.46e-06> <2.10e-04> <1.22e-04> <1.19e-03> <1.48e-05> <1.36e-04> <2.07e-04> <6.29e-05> 
Valid Epoch #12700/20000 | Loss: 9.1179e-05 
Adam  Epoch #12800/20000 | Loss: 6.1023e-03 =  <8.98e-04> <8.95e-04> <1.58e-04> <2.30e-03> <5.33e-06> <1.54e-04> <1.10e-04> <1.18e-03> <1.38e-05> <1.10e-04> <2.08e-04> <6.28e-05> 
Valid Epoch #12800/20000 | Loss: 8.6803e-05 
Adam  Epoch #12900/20000 | Loss: 5.9425e-03 =  <8.81e-04> <8.84e-04> <1.56e-04> <2.23e-03> <3.93e-06> <1.41e-04> <1.09e-04> <1.16e-03> <1.34e-05> <9.90e-05> <1.98e-04> <6.18e-05> 
Valid Epoch #12900/20000 | Loss: 8.7016e-05 
